"(14.856921385449768, 2.0668543602695708)","(-16.3406028192073, 6.96015594481842)","(-51.5500711464392, 5.44380391011353)","(-38.0, -7.8)","(-33.4198478146089, -11.6008121153642)","(-16.8543168420894, -20.7978743464026)","(-21.6060180075672, -51.3782757208509)"
"(14.843641779039764, 2.1601617382837826)","(-16.3632534688730, 6.99333935588771)","(-51.5703560807767, 5.42301803386918)","(-38.0, -7.8)","(-33.4128556106748, -11.5925369143615)","(-16.8294656409583, -20.7573580907625)","(-21.5216721119004, -51.3469447277606)"
"(14.82977617106871, 2.2533838368113561)","(-16.3862892605291, 7.02697534297444)","(-51.5909068004220, 5.40189465286499)","(-38.0, -7.8)","(-33.4059133600908, -11.5842746355036)","(-16.8049068757807, -20.7171467900340)","(-21.4382030815704, -51.3157117638653)"
"(14.815325108927066, 2.3465169756034632)","(-16.4097125621889, 7.06106248231905)","(-51.6117219585728, 5.38043229206123)","(-38.0, -7.8)","(-33.3990208862542, -11.5760252733729)","(-16.7806390273954, -20.6772424708832)","(-21.3556117547903, -51.2845820601380)"
"(14.80028916311802, 2.4395574779232536)","(-16.4335257174161, 7.09559924170016)","(-51.6328001350506, 5.35862950921809)","(-38.0, -7.8)","(-33.3921780310485, -11.5677888590306)","(-16.7566605714178, -20.6376471232722)","(-21.2738988389994, -51.2535608059022)"
"(14.784668927234971, 2.532501670691008)","(-16.4577310441780, 7.13058398006319)","(-51.6541398362012, 5.33648489576135)","(-38.0, -7.8)","(-33.3853846542309, -11.5595654598467)","(-16.7329699786399, -20.5983627003684)","(-21.1930649119537, -51.2226531472370)"
"(14.76846501793808, 2.6253458846291404)","(-16.4823308337105, 7.16601494723318)","(-51.6757394948528, 5.31399707762762)","(-38.0, -7.8)","(-33.3786406328645, -11.5513551793702)","(-16.7095657154290, -20.5593911184654)","(-21.1131104227514, -51.1918641854411)"
"(14.751678074929945, 2.7180864544070604)","(-16.5073273493925, 7.20189028371161)","(-51.6975974703328, 5.29116471609137)","(-38.0, -7.8)","(-33.3719458607888, -11.5431581572420)","(-16.6864462441262, -20.5207342569164)","(-21.0340356927810, -51.1611989755578)"
"(14.734308760930331, 2.8107197187858688)","(-16.5327228256333, 7.23820802055906)","(-51.7197120485434, 5.26798650856950)","(-38.0, -7.8)","(-33.3653002481350, -11.5349745691400)","(-16.6636100234434, -20.4823939580786)","(-20.9558409166216, -51.1306625249655)"
"(14.716357761650011, 2.9032420207629035)","(-16.5585194667734, 7.27496607936347)","(-51.7420814420959, 5.24446118940546)","(-38.0, -7.8)","(-33.3587037208758, -11.5268046267739)","(-16.6410555088599, -20.4443720272701)","(-20.8785261628506, -51.1002597920199)"
"(14.697825785763703, 2.9956497077161055)","(-16.5847194460001, 7.31216227229455)","(-51.7647037905038, 5.22058753062977)","(-38.0, -7.8)","(-33.3521562204193, -11.5186485779078)","(-16.6187811530167, -20.4066702327385)","(-20.8020913748143, -51.0699956847596)"
"(14.678713564882081, 3.0879391315482199)","(-16.6113249042780, 7.34979430224485)","(-51.7875771604355, 5.19636434269757)","(-38.0, -7.8)","(-33.3456577032357, -11.5105067064297)","(-16.5967854061097, -20.3692903056414)","(-20.7265363713133, -51.0398750596657)"
"(14.659021853522901, 3.1801066488308196)","(-16.6383379492980, 7.38785976305708)","(-51.8106995460250, 5.17179047520135)","(-38.0, -7.8)","(-33.3392081405262, -11.5023793324560)","(-16.5750667162825, -20.3322339400390)","(-20.6518608472338, -51.0099027204758)"
"(14.638751429081211, 3.2721486209481383)","(-16.6657606544430, 7.42635613983781)","(-51.8340688692428, 5.14686481755912)","(-38.0, -7.8)","(-33.3328075179224, -11.4942668124757)","(-16.5536235300158, -20.2955027928979)","(-20.5780643741098, -50.9800834170607)"
"(14.617903091798658, 3.3640614142407173)","(-16.6935950577730, 7.46528080935739)","(-51.8576829803225, 5.12158629967632)","(-38.0, -7.8)","(-33.3264558352277, -11.4861695395366)","(-16.5324542925159, -20.2590984841077)","(-20.5051464006165, -50.9504218443446)"
"(14.596477664731898, 3.4558414001488584)","(-16.7218431610309, 7.50463104053551)","(-51.8815396582480, 5.09595389258155)","(-38.0, -7.8)","(-33.3201531061912, -11.4780879434684)","(-16.5115574481014, -20.2230225965086)","(-20.4331062530045, -50.9209226412859)"
"(14.57447599372011, 3.5474849553558703)","(-16.7505069286685, 7.54440399501168)","(-51.9056366112963, 5.06996660903498)","(-38.0, -7.8)","(-33.3138993583172, -11.4700224911488)","(-16.4909314405864, -20.1872766759307)","(-20.3619431354588, -50.8915903899115)"
"(14.551898947351587, 3.638988461931111)","(-16.7795882868958, 7.58459672780035)","(-51.9299714776376, 5.04362350410914)","(-38.0, -7.8)","(-33.3076946327127, -11.4619736868137)","(-16.4705747136640, -20.1518622312462)","(-20.2916561303874, -50.8624296143989)"
"(14.528747416929466, 3.7303483074728221)","(-16.8090891227518, 7.62520618802913)","(-51.9545418259906, 5.01692367574149)","(-38.0, -7.8)","(-33.3015389839684, -11.4539420724067)","(-16.4504857112846, -20.1167807344314)","(-20.2222441986427, -50.8334447802130)"
"(14.505022316436525, 3.8215608852507326)","(-16.8390112831998, 7.66622921975966)","(-51.9793451563331, 4.98986626525897)","(-38.0, -7.8)","(-33.2954324800746, -11.4459282279786)","(-16.4306628780334, -20.0820336206414)","(-20.1537061796578, -50.8046402932949)"
"(14.480724582499109, 3.9126225943484543)","(-16.8693565742488, 7.70766256288971)","(-52.0043789006679, 4.96245045787178)","(-38.0, -7.8)","(-33.2893752023744, -11.4379327721283)","(-16.4111046595052, -20.0476222882964)","(-20.0860407915171, -50.7760204992996)"
"(14.455855174350146, 4.0035298398056325)","(-16.9001267600977, 7.74950285413490)","(-52.0296404238392, 4.93467548313971)","(-38.0, -7.8)","(-33.2833672455555, -11.4299563624945)","(-16.3918095026756, -20.0135480991786)","(-20.0192466309401, -50.7475896828830)"
"(14.43041507379129, 4.0942790327598777)","(-16.9313235623080, 7.79174662808919)","(-52.0551270244030, 4.90654061540734)","(-38.0, -7.8)","(-33.2774087176708, -11.4219996962987)","(-16.3727758562697, -19.9798123785410)","(-19.9533221731730, -50.7193520670411)"
