"[9.0807327380593499, 2.7001824865576682]","[-17.0990519719640, 20.3594233942053]","[-42.9038607384352, -3.64303122829845]","[-24.0, -4.9263157894736835]","[-33.9422702781952, -26.8575488830106]","[-15.0338204672666, -28.0713428649904]","[-6.22692140133098, -57.7391392278952]"
"[9.063587856873129, 2.7571847383731014]","[-17.1459842783235, 20.3721853170683]","[-42.9062094661229, -3.67811159696932]","[-24.0, -4.9263157894736835]","[-33.9072501624911, -26.8781690315874]","[-14.9965810731651, -28.0568821761302]","[-6.13465779235714, -57.7082890222386]"
"[9.04608516075767, 2.81407814125612]","[-17.1931191984504, 20.3849082722778]","[-42.9085016736605, -3.71332999389340]","[-24.0, -4.9263157894736835]","[-33.8724311321395, -26.8989583590394]","[-14.9595997951349, -28.0424533966840]","[-6.04247406625453, -57.6773058667692]"
"[9.0282253406894419, 2.8708604491525951]","[-17.2404562263055, 20.3975910521296]","[-42.9107365773690, -3.74868588816295]","[-24.0, -4.9263157894736835]","[-33.8378125807435, -26.9199176998182]","[-14.9228768051710, -28.0280578935989]","[-5.95037165037144, -57.6461902357212]"
"[9.0100091017435595, 2.9275294203942384]","[-17.2879948480817, 20.4102324480293]","[-42.9129133940469, -3.78417874323862]","[-24.0, -4.9263157894736835]","[-33.8033939010484, -26.9410478780048]","[-14.8864122738961, -28.0136970289781]","[-5.85835197886247, -57.6149426023929]"
"[8.9914371630659478, 2.9840828177870975]","[-17.3357345421424, 20.4228312505728]","[-42.9150313410360, -3.81980801691645]","[-24.0, -4.9263157894736835]","[-33.7691744851092, -26.9623497072517]","[-14.8502063706619, -27.9993721600574]","[-5.76641649280891, -57.5835634392421]"
"[8.9725102578449452, 3.0405184086998789]","[-17.3836747789582, 20.4353862496265]","[-42.9170896362866, -3.85557316129546]","[-24.0, -4.9263157894736835]","[-33.7351537244578, -26.9838239907265]","[-14.8142592636520, -27.9850846391805]","[-5.67456664033270, -57.5520532179782]"
"[8.9532291332823615, 3.0968339651520864]","[-17.4318150210465, 20.4478962344088]","[-42.9190874984250, -3.89147362274571]","[-24.0, -4.9263157894736835]","[-33.7013310102720, -27.0054715210565]","[-14.7785711199850, -27.9708358137753]","[-5.58280387671191, -57.5204124096575]"
"[8.9335945505639796, 3.1530272639019783]","[-17.4801547229106, 20.4603599935726]","[-42.9210241468198, -3.92750884187728]","[-24.0, -4.9263157894736835]","[-33.6677057335423, -27.0272930802746]","[-14.7431421058175, -27.9566270263312]","[-5.49112966449112, -57.4886414847779]"
"[8.9136072848295029, 3.209096086534339]","[-17.5286933309799, 20.4727763152884]","[-42.9228988016492, -3.96367825350963]","[-24.0, -4.9263157894736835]","[-33.6342772852469, -27.0492894397667]","[-14.7079723864483, -27.9424596143763]","[-5.39954547360036, -57.4567409133767]"
"[8.8932681251419634, 3.2650382195480563]","[-17.5774302835506, 20.4851439873286]","[-42.9247106839699, -3.99998128664171]","[-24.0, -4.9263157894736835]","[-33.6010450565187, -27.0714613602193]","[-14.6730621264225, -27.9283349104560]","[-5.30805278146284, -57.4247111651281]"
"[8.8725778744565584, 3.3208514544435062]","[-17.6263650107278, 20.4974617971521]","[-42.9264590157852, -4.03641736442282]","[-24.0, -4.9263157894736835]","[-33.5680084388197, -27.0938095915697]","[-14.6384114896369, -27.9142542421112]","[-5.21665307310817, -57.3925527094403]"
"[8.8515373495889555, 3.3765335878097438]","[-17.6754969343675, 20.5097285319906]","[-42.9281430201135, -4.07298590412399]","[-24.0, -4.9263157894736835]","[-33.5351668241141, -27.1163348729565]","[-14.6040206394452, -27.9002189318577]","[-5.12534784128265, -57.3602660155564]"
"[8.8301473811830498, 3.4320824214114847]","[-17.7248254680200, 20.5219429789349]","[-42.9297619210589, -4.10968631711002]","[-24.0, -4.9263157894736835]","[-33.5025196050429, -27.1390379326705]","[-14.5698897387633, -27.8862302971658]","[-5.03413858656138, -57.3278515526545]"
"[8.8084088136781702, 3.4874957622758957]","[-17.7743500168739, 20.5341039250223]","[-42.9313149438800, -4.14651800881240]","[-24.0, -4.9263157894736835]","[-33.4700661750982, -27.1619194881095]","[-14.5360189501763, -27.8722896504409]","[-4.94302681745419, -57.2953097899489]"
"[8.7863225052757379, 3.5427714227791611]","[-17.8240699777005, 20.5462101573254]","[-42.9328013150618, -4.18348037870259]","[-24.0, -4.9263157894736835]","[-33.4378059287998, -27.1849802457302]","[-14.5024084360451, -27.8583982990040]","[-4.85201405051649, -57.2626411967921]"
"[8.7638893279053907, 3.5979072207328517]","[-17.8739847387997, 20.5582604630410]","[-42.9342202623851, -4.22057282026608]","[-24.0, -4.9263157894736835]","[-33.4057382618732, -27.2082209010056]","[-14.4690583586134, -27.8445575450730]","[-4.76110181045664, -57.2298462427778]"
"[8.7411101671905609, 3.652900979470072]","[-17.9240936799457, 20.5702536295798]","[-42.9355710149992, -4.25779472097732]","[-24.0, -4.9263157894736835]","[-33.3738625714254, -27.2316421383799]","[-14.4359688801159, -27.8307686857448]","[-4.67029163024182, -57.1969253978455]"
"[8.7179859224135079, 3.7077505279313909]","[-17.9743961723349, 20.5821884446581]","[-42.9368528034931, -4.29514546227496]","[-24.0, -4.9263157894736835]","[-33.3421782561271, -27.2552446312275]","[-14.4031401628861, -27.8170330129772]","[-4.57958505120556, -57.1638791323840]"
"[8.694517506479821, 3.762453700750553]","[-18.0248915785328, 20.5940636963883]","[-42.9380648599683, -4.33262441953817]","[-24.0, -4.9263157894736835]","[-33.3106847163894, -27.2790290418102]","[-14.3705723694650, -27.8033518135723]","[-4.48898362315223, -57.1307079173384]"
